,Title,Useable Battery,0 - 100,Top Speed,Range,Efficiency,Fastcharge,Price in Germany,Price in Netherlands,Price in UK
241,Toyota PROACE Shuttle L 75 kWh,68 kwh,13.1 sec,130 km/h,260 km,262 Wh/km,280 km/h,N/A,"€69,795",N/A
242,Toyota PROACE Shuttle M 75 kWh,68 kwh,13.1 sec,130 km/h,265 km,257 Wh/km,290 km/h,N/A,"€60,095",N/A
243,Toyota PROACE Shuttle L 50 kWh,46.3 kwh,12.1 sec,130 km/h,180 km,257 Wh/km,290 km/h,N/A,"€68,595",N/A
244,Toyota PROACE Shuttle M 50 kWh,46.3 kwh,12.1 sec,130 km/h,185 km,250 Wh/km,290 km/h,N/A,"€58,895",N/A
245,Peugeot e-Expert Combi Long 75 kWh,68 kwh,14.3 sec,130 km/h,260 km,262 Wh/km,280 km/h,"€58,730","€59,303",N/A
246,Peugeot e-Expert Combi Standard 75 kWh,68 kwh,14.3 sec,130 km/h,265 km,257 Wh/km,290 km/h,"€57,940","€57,367",N/A
247,Peugeot e-Expert Combi Long 50 kWh,46.3 kwh,13.1 sec,130 km/h,185 km,250 Wh/km,290 km/h,"€52,730","€50,289",N/A
248,Peugeot e-Expert Combi Standard 50 kWh,46.3 kwh,13.1 sec,130 km/h,185 km,250 Wh/km,290 km/h,"€51,940","€48,353",N/A
249,Opel Vivaro-e Combi L 75 kWh,68 kwh,13.3 sec,130 km/h,260 km,262 Wh/km,280 km/h,"€57,775","€59,059",N/A
250,Opel Vivaro-e Combi M 75 kWh,68 kwh,13.3 sec,130 km/h,265 km,257 Wh/km,290 km/h,"€56,942","€57,123",N/A
251,Opel Vivaro-e Combi L 50 kWh,46.3 kwh,12.1 sec,130 km/h,180 km,257 Wh/km,290 km/h,"€51,825","€50,044","£37,835"
252,Opel Vivaro-e Combi M 50 kWh,46.3 kwh,12.1 sec,130 km/h,185 km,250 Wh/km,290 km/h,"€50,992","€48,108","£36,995"
253,Citroen e-Jumpy Combi XL 75 kWh,68 kwh,13.3 sec,130 km/h,260 km,262 Wh/km,280 km/h,"€58,730","€58,958",N/A
254,Citroen e-Jumpy Combi M 75 kWh,68 kwh,13.3 sec,130 km/h,265 km,257 Wh/km,290 km/h,"€57,940","€57,022",N/A
255,Citroen e-Jumpy Combi XL 50 kWh,46.3 kwh,12.1 sec,130 km/h,180 km,257 Wh/km,290 km/h,"€52,730","€49,944",N/A
256,Citroen e-Jumpy Combi M 50 kWh,46.3 kwh,12.1 sec,130 km/h,185 km,250 Wh/km,290 km/h,"€51,940","€48,008",N/A
257,Tesla Model 3 Long Range Dual Motor,75 kwh,4.4 sec,233 km/h,485 km,155 Wh/km,750 km/h,N/A,N/A,"£50,990"
258,BMW iX M60,105.2 kwh,3.8 sec,250 km/h,485 km,217 Wh/km,650 km/h,"€136,100","€138,383","£122,775"
259,SsangYong Korando e-Motion,56 kwh,8.5 sec,156 km/h,290 km,193 Wh/km,330 km/h,"€40,490","€39,990",N/A
260,Renault Megane E-Tech EV60 130hp,60 kwh,10.5 sec,150 km/h,380 km,158 Wh/km,530 km/h,"€47,000","€43,970",N/A
261,Citroen e-C4,46.3 kwh,9.7 sec,150 km/h,290 km,160 Wh/km,460 km/h,"€36,040","€37,830","£31,995"
262,Opel Mokka-e,46.3 kwh,9.2 sec,150 km/h,260 km,178 Wh/km,420 km/h,"€40,650","€39,749","£38,835"
263,Opel Corsa-e,46.3 kwh,8.1 sec,150 km/h,295 km,157 Wh/km,470 km/h,N/A,N/A,"£33,930"
264,Peugeot e-208,46.3 kwh,8.1 sec,150 km/h,285 km,162 Wh/km,460 km/h,"€39,100",N/A,"£31,595"
265,Subaru Solterra AWD,64 kwh,6.9 sec,160 km/h,320 km,200 Wh/km,480 km/h,"€57,490","€56,395","£49,995"
266,Toyota bZ4X AWD,64 kwh,6.9 sec,160 km/h,315 km,203 Wh/km,470 km/h,"€57,390","€59,995","£52,510"
267,Toyota bZ4X FWD,64 kwh,7.5 sec,160 km/h,340 km,188 Wh/km,510 km/h,"€47,490","€48,995","£46,110"
268,Porsche Taycan GTS Sport Turismo,83.7 kwh,3.7 sec,250 km/h,425 km,197 Wh/km,1050 km/h,"€140,858","€147,563","£111,200"
269,Porsche Taycan GTS,83.7 kwh,3.7 sec,250 km/h,450 km,186 Wh/km,1110 km/h,"€139,906","€146,663","£110,200"
270,Mercedes EQB 300 4MATIC,66.5 kwh,8.0 sec,160 km/h,340 km,196 Wh/km,490 km/h,"€55,519",N/A,"£55,310"
271,Tesla Model 3,57.5 kwh,6.1 sec,225 km/h,405 km,142 Wh/km,680 km/h,N/A,N/A,"£42,990"
272,Citroen e-Berlingo XL 50 kWh,46.3 kwh,11.7 sec,135 km/h,205 km,226 Wh/km,330 km/h,"€43,640","€43,556","£33,315"
273,Citroen e-Berlingo M 50 kWh,46.3 kwh,11.7 sec,135 km/h,205 km,226 Wh/km,330 km/h,"€37,790","€41,741","£32,315"
274,Opel Combo-e Life XL 50 kWh,46.3 kwh,11.7 sec,135 km/h,200 km,232 Wh/km,320 km/h,"€44,750",N/A,"£34,685"
275,Opel Combo-e Life 50 kWh,46.3 kwh,11.7 sec,135 km/h,205 km,226 Wh/km,330 km/h,"€43,050","€39,434","£34,085"
276,Mercedes EQV 250 Extra-Long,60 kwh,12.0 sec,160 km/h,210 km,286 Wh/km,200 km/h,"€68,949",N/A,N/A
277,Mercedes EQV 250 Long,60 kwh,12.0 sec,160 km/h,210 km,286 Wh/km,200 km/h,"€68,056",N/A,N/A
278,MG ZS EV Long Range,68.3 kwh,8.4 sec,175 km/h,370 km,185 Wh/km,420 km/h,"€37,990","€39,885","£32,995"
279,MG ZS EV Standard Range,49 kwh,8.6 sec,175 km/h,265 km,185 Wh/km,250 km/h,"€33,990","€35,885","£30,495"
280,Mercedes EQE 350+,90.6 kwh,6.4 sec,210 km/h,525 km,173 Wh/km,780 km/h,N/A,"€82,028",N/A
281,Mercedes EQS AMG 53 4MATIC+,107.8 kwh,3.4 sec,250 km/h,540 km,200 Wh/km,810 km/h,"€155,009","€176,608","£161,860"
282,Renault Megane E-Tech EV40 130hp,40 kwh,10.0 sec,150 km/h,260 km,154 Wh/km,370 km/h,"€42,000","€38,370",N/A
283,BMW iX3,74 kwh,6.8 sec,180 km/h,385 km,192 Wh/km,520 km/h,"€67,300","€71,462","£64,165"
284,Audi Q4 Sportback e-tron 40,76.6 kwh,8.5 sec,160 km/h,425 km,180 Wh/km,660 km/h,"€53,900","€61,465","£52,130"
285,Audi Q4 e-tron 45 quattro,76.6 kwh,6.9 sec,180 km/h,385 km,199 Wh/km,550 km/h,"€53,990","€61,415",N/A
286,MG Marvel R,70 kwh,7.9 sec,200 km/h,365 km,192 Wh/km,400 km/h,"€46,990","€49,485",N/A
287,Peugeot e-Rifter Long 50 kWh,46.3 kwh,11.7 sec,135 km/h,200 km,232 Wh/km,320 km/h,"€42,440","€41,430","£35,120"
288,Peugeot e-Rifter Standard 50 kWh,46.3 kwh,11.7 sec,135 km/h,205 km,226 Wh/km,330 km/h,"€41,240","€39,620","£33,120"
289,Renault Megane E-Tech EV60 220hp,60 kwh,7.4 sec,160 km/h,380 km,158 Wh/km,530 km/h,"€46,600","€42,970","£36,995"
290,BMW i4 M50,80.7 kwh,3.9 sec,225 km/h,450 km,179 Wh/km,700 km/h,"€70,800","€76,786","£71,085"
