,Title,Useable Battery,0 - 100,Top Speed,Range,Efficiency,Fastcharge,Price in Germany,Price in Netherlands,Price in UK
13,Mercedes EQA 250+,70.5 kwh,8.6 sec,160 km/h,425 km,166 Wh/km,590 km/h,"* €52,000","* €56,000","* £50,000"
14,Mercedes EQA 250,66.5 kwh,8.6 sec,160 km/h,405 km,164 Wh/km,580 km/h,"* €51,000","* €52,500","* £48,000"
15,Tesla Model 3 Long Range RWD,75 kwh,5.9 sec,233 km/h,495 km,152 Wh/km,770 km/h,N/A,N/A,"£46,990"
16,Elaris BEO 86 kWh,81 kwh,8.0 sec,150 km/h,390 km,208 Wh/km,290 km/h,"€53,090",N/A,N/A
17,Tesla Model Y,57.5 kwh,6.9 sec,217 km/h,350 km,164 Wh/km,580 km/h,"€47,567","€47,993","£44,990"
18,MG MG4 Electric 77 kWh,74.4 kwh,6.5 sec,180 km/h,425 km,175 Wh/km,430 km/h,N/A,"€41,285","£36,495"
19,CUPRA Tavascan VZ,77 kwh,5.6 sec,180 km/h,410 km,188 Wh/km,610 km/h,"* €58,000","* €60,000","* £55,000"
20,CUPRA Tavascan Endurance,77 kwh,6.8 sec,180 km/h,425 km,181 Wh/km,630 km/h,"* €52,000","* €55,000","* £50,000"
21,Volvo EX90 Single Motor,101 kwh,8.4 sec,180 km/h,460 km,220 Wh/km,600 km/h,N/A,"€83,495",N/A
22,Peugeot e-208 51 kWh,48.1 kwh,8.2 sec,150 km/h,310 km,155 Wh/km,480 km/h,"* €42,000","€37,770","* £35,000"
23,Peugeot e-208 50 kWh,46.3 kwh,9.0 sec,150 km/h,290 km,160 Wh/km,460 km/h,"* €39,000","€35,320","* £32,000"
24,Peugeot e-2008 54 kWh,50.8 kwh,9.1 sec,150 km/h,300 km,169 Wh/km,480 km/h,"* €40,000","€41,420","£36,350"
25,Peugeot e-2008 50 kWh,46.3 kwh,9.9 sec,150 km/h,270 km,171 Wh/km,430 km/h,"* €37,000","€38,970",N/A
26,Fiat 600e,50.8 kwh,9.0 sec,150 km/h,305 km,167 Wh/km,490 km/h,"€36,490","€35,990","* £31,000"
27,MG MG4 Electric XPOWER,61.7 kwh,3.8 sec,200 km/h,320 km,193 Wh/km,490 km/h,"€46,990","€42,285","£36,495"
28,Lexus UX 300e,64 kwh,7.5 sec,160 km/h,340 km,188 Wh/km,170 km/h,N/A,N/A,"£47,495"
29,Opel Corsa Electric 51 kWh,48.1 kwh,8.1 sec,150 km/h,315 km,153 Wh/km,490 km/h,"€38,045","€37,999","£35,475"
30,Opel Corsa Electric 50 kWh,46.3 kwh,8.7 sec,150 km/h,295 km,157 Wh/km,470 km/h,"€34,650","€34,999","£32,445"
31,Honda e:Ny1,62 kwh,7.6 sec,160 km/h,360 km,172 Wh/km,320 km/h,"€47,590","€48,750",N/A
32,Citroen e-C4 X 54 kWh,50.8 kwh,10.0 sec,150 km/h,305 km,167 Wh/km,440 km/h,"€41,540","€40,680",N/A
33,Citroen e-C4 54 kWh,50.8 kwh,10.0 sec,150 km/h,320 km,159 Wh/km,460 km/h,"€41,540","€39,840",N/A
34,Zeekr X Privilege AWD,64 kwh,3.8 sec,180 km/h,350 km,183 Wh/km,520 km/h,"€50,470","€50,490",N/A
35,Zeekr X Long Range RWD,64 kwh,5.6 sec,180 km/h,360 km,178 Wh/km,540 km/h,"€45,970","€45,990",N/A
36,Zeekr 001 Privilege AWD,94 kwh,3.8 sec,200 km/h,500 km,188 Wh/km,700 km/h,"€68,970","€68,490",N/A
37,Zeekr 001 Performance AWD,94 kwh,3.8 sec,200 km/h,505 km,186 Wh/km,700 km/h,"€63,970","€63,490",N/A
38,Zeekr 001 Long Range RWD,94 kwh,7.2 sec,200 km/h,530 km,177 Wh/km,740 km/h,"€60,970","€60,490",N/A
39,Porsche Taycan Turbo S Cross Turismo,83.7 kwh,2.9 sec,250 km/h,410 km,204 Wh/km,1010 km/h,"€199,168","€207,664","£149,300"
40,Porsche Taycan Turbo Cross Turismo,83.7 kwh,3.3 sec,250 km/h,425 km,197 Wh/km,1050 km/h,"€165,848","€173,264","£126,800"
41,Porsche Taycan 4S Cross Turismo,83.7 kwh,4.1 sec,240 km/h,440 km,190 Wh/km,1080 km/h,"€119,914","€126,064","£95,200"
42,Porsche Taycan 4 Cross Turismo,83.7 kwh,5.1 sec,220 km/h,440 km,190 Wh/km,1080 km/h,"€103,254","€109,064","£88,200"
43,Porsche Taycan Turbo S,83.7 kwh,2.8 sec,260 km/h,430 km,195 Wh/km,1060 km/h,"€197,740","€206,163","£148,300"
44,Porsche Taycan Turbo,83.7 kwh,3.2 sec,260 km/h,445 km,188 Wh/km,1090 km/h,"€164,420","€171,763","£125,800"
45,Porsche Taycan 4S Plus,83.7 kwh,4.0 sec,250 km/h,480 km,174 Wh/km,1180 km/h,"€120,081","€126,395","£94,996"
46,Porsche Taycan 4S,71 kwh,4.0 sec,250 km/h,415 km,171 Wh/km,1020 km/h,"€114,559","€120,564","£90,700"
47,Porsche Taycan Plus,83.7 kwh,5.4 sec,230 km/h,485 km,173 Wh/km,1190 km/h,"€98,863","€104,707","£83,654"
48,Porsche Taycan,71 kwh,5.4 sec,230 km/h,420 km,169 Wh/km,1030 km/h,"€93,139","€98,663","£79,200"
49,NIO EL6 100 kWh,90 kwh,4.5 sec,200 km/h,440 km,205 Wh/km,460 km/h,"€74,500","€76,900",N/A
50,NIO EL6 75 kWh,70.5 kwh,4.5 sec,200 km/h,350 km,201 Wh/km,470 km/h,"€65,500","€67,900",N/A
51,Smart #1 Pulse,62 kwh,3.9 sec,180 km/h,320 km,194 Wh/km,490 km/h,"€46,490",N/A,N/A
52,BYD DOLPHIN 60.4 kWh,60.5 kwh,7.0 sec,160 km/h,340 km,178 Wh/km,340 km/h,"€36,240","€36,490","* £31,000"
53,BYD DOLPHIN 44.9 kWh Boost,44.9 kwh,8.0 sec,160 km/h,255 km,176 Wh/km,260 km/h,"€32,740","€32,990","* £28,500"
54,BYD DOLPHIN 44.9 kWh Active,44.9 kwh,10.0 sec,150 km/h,255 km,176 Wh/km,260 km/h,"€29,990","€29,990","* £26,000"
55,NIO ET5 Touring 100 kWh,90 kwh,4.0 sec,200 km/h,485 km,186 Wh/km,500 km/h,"€68,500","€72,900",N/A
56,NIO ET5 Touring 75 kWh,70.5 kwh,4.0 sec,200 km/h,385 km,183 Wh/km,520 km/h,"€59,500","€63,900",N/A
57,Volkswagen ID.5 GTX,77 kwh,6.3 sec,180 km/h,405 km,190 Wh/km,560 km/h,"€56,455","€63,790","£56,545"
58,Volkswagen ID.5 Pro Performance,77 kwh,8.4 sec,160 km/h,430 km,179 Wh/km,660 km/h,"€48,970","€55,690","£52,185"
59,Volkswagen ID.5 Pro,77 kwh,10.4 sec,160 km/h,430 km,179 Wh/km,660 km/h,"€47,935","€53,990","£50,710"
60,Volvo EX30 Twin Motor Performance,64 kwh,3.6 sec,180 km/h,360 km,178 Wh/km,540 km/h,"€48,490","€49,995","£40,995"
61,Volvo EX30 Single Motor ER,64 kwh,5.3 sec,180 km/h,370 km,173 Wh/km,550 km/h,"€41,790","€41,495","£38,545"
62,Volvo EX30 Single Motor,49 kwh,5.7 sec,180 km/h,280 km,175 Wh/km,430 km/h,"€36,590","€36,795","£33,795"
63,Mercedes EQT 200 Standard,45 kwh,12.6 sec,132 km/h,225 km,200 Wh/km,230 km/h,"€49,445",N/A,N/A
64,BMW i5 M60 xDrive Sedan,81.2 kwh,3.8 sec,230 km/h,425 km,191 Wh/km,630 km/h,"€99,500","€108,427","£97,745"
65,BMW i5 eDrive40 Sedan,81.2 kwh,6.0 sec,193 km/h,475 km,171 Wh/km,710 km/h,"€70,200","€77,572","£74,105"
66,BMW i7 eDrive50,101.7 kwh,5.5 sec,205 km/h,520 km,196 Wh/km,780 km/h,"€115,700","€122,463","£100,205"
67,Abarth 500e Convertible,37.8 kwh,7.0 sec,155 km/h,225 km,168 Wh/km,370 km/h,"€40,990","€41,490","£37,195"
68,Abarth 500e Hatchback,37.8 kwh,7.0 sec,155 km/h,225 km,168 Wh/km,370 km/h,"€37,990","€38,490","£34,195"
69,Mercedes EQE AMG 53 4MATIC+,90.6 kwh,3.5 sec,220 km/h,465 km,195 Wh/km,690 km/h,"€110,706",N/A,N/A
70,Mercedes EQE AMG 43 4MATIC,90.6 kwh,4.2 sec,210 km/h,465 km,195 Wh/km,690 km/h,"€104,756",N/A,N/A
71,Mercedes EQE 500 4MATIC,90.6 kwh,4.7 sec,210 km/h,485 km,187 Wh/km,720 km/h,"€88,215",N/A,N/A
72,Mercedes EQE 350 4MATIC,89 kwh,6.3 sec,210 km/h,475 km,187 Wh/km,600 km/h,"€74,149",N/A,N/A
73,Mercedes EQE 350,89 kwh,6.4 sec,210 km/h,510 km,175 Wh/km,640 km/h,"€70,995",N/A,N/A
74,Mercedes EQE 300,89 kwh,7.3 sec,210 km/h,515 km,173 Wh/km,650 km/h,"€67,187",N/A,N/A
75,e.Go e.wave X,27 kwh,12.0 sec,135 km/h,150 km,180 Wh/km,-,"€24,990",N/A,N/A
76,Maserati Grecale Folgore,95 kwh,4.1 sec,220 km/h,405 km,235 Wh/km,440 km/h,N/A,"* €150,000","* £135,000"
77,Polestar 4 Long Range Dual Motor,94 kwh,3.8 sec,200 km/h,475 km,198 Wh/km,710 km/h,"* €65,000","* €65,000","* £60,000"
78,Polestar 4 Long Range Single Motor,94 kwh,7.4 sec,180 km/h,510 km,184 Wh/km,760 km/h,"* €60,000","* €60,000","* £55,000"
79,Volkswagen ID.7 Pro S,86 kwh,7.0 sec,180 km/h,520 km,165 Wh/km,800 km/h,"* €60,000","* €65,000","* £56,000"
80,Volkswagen ID.7 Pro,77 kwh,6.5 sec,180 km/h,475 km,162 Wh/km,710 km/h,"€56,995","* €60,000","* £53,000"
81,BMW i7 M70 xDrive,101.7 kwh,3.7 sec,250 km/h,490 km,208 Wh/km,730 km/h,"€181,800","€189,877","£163,315"
82,Maxus MIFA 9,90 kwh,9.2 sec,180 km/h,345 km,261 Wh/km,290 km/h,"€68,990",N/A,"£65,290"
83,Kia EV9 99.8 kWh AWD,95 kwh,6.0 sec,200 km/h,420 km,226 Wh/km,760 km/h,"€76,490","* €75,000",N/A
84,Kia EV9 99.8 kWh RWD,95 kwh,9.4 sec,185 km/h,445 km,213 Wh/km,810 km/h,"€72,490","€71,495","£64,995"
85,Volkswagen ID.3 Pro S - 4 Seats,77 kwh,7.9 sec,160 km/h,455 km,169 Wh/km,680 km/h,"€47,595","€47,990","£42,870"
86,Volkswagen ID.3 Pro,58 kwh,7.3 sec,160 km/h,350 km,166 Wh/km,450 km/h,"€39,995","€44,990","£37,115"
87,Hyundai Kona Electric 65 kWh,65.4 kwh,8.8 sec,170 km/h,390 km,168 Wh/km,400 km/h,"* €48,000","€43,995","£38,595"
88,Hyundai Kona Electric 48 kWh,48.4 kwh,7.8 sec,160 km/h,295 km,164 Wh/km,280 km/h,"* €40,000","€39,995","£34,995"
89,Volkswagen ID.4 GTX,77 kwh,6.3 sec,180 km/h,400 km,193 Wh/km,560 km/h,"€53,255","€61,790","£52,865"
90,Mini Cooper SE Convertible,28.9 kwh,8.2 sec,150 km/h,165 km,175 Wh/km,230 km/h,N/A,"€62,990","£52,500"
91,XPENG G9 AWD Long Range,94 kwh,3.9 sec,200 km/h,440 km,214 Wh/km,920 km/h,N/A,"€73,188",N/A
92,XPENG G9 RWD Long Range,94 kwh,6.4 sec,200 km/h,470 km,200 Wh/km,980 km/h,N/A,"€63,188",N/A
93,XPENG G9 RWD Standard Range,75 kwh,6.4 sec,200 km/h,375 km,200 Wh/km,780 km/h,N/A,"€59,188",N/A
94,XPENG P7 Wing Edition,82.7 kwh,4.1 sec,200 km/h,465 km,178 Wh/km,650 km/h,N/A,"€71,188",N/A
95,XPENG P7 AWD Performance,82.7 kwh,4.1 sec,200 km/h,460 km,180 Wh/km,640 km/h,N/A,"€61,188",N/A
96,XPENG P7 RWD Long Range,82.7 kwh,6.7 sec,200 km/h,495 km,167 Wh/km,690 km/h,N/A,"€51,188",N/A
97,Polestar 2 Long Range Performance,79 kwh,4.2 sec,205 km/h,415 km,190 Wh/km,620 km/h,"€65,275","€66,400","£57,950"
98,Polestar 2 Long Range Dual Motor,79 kwh,4.5 sec,205 km/h,425 km,186 Wh/km,630 km/h,"€58,775","€59,900","£52,950"
99,Polestar 2 Long Range Single Motor,79 kwh,6.2 sec,205 km/h,445 km,178 Wh/km,660 km/h,"€54,475","€55,200","£48,950"
100,Polestar 2 Standard Range Single Motor,67 kwh,6.4 sec,205 km/h,385 km,174 Wh/km,460 km/h,"€50,775","€51,200","£44,950"
101,Jeep Avenger Electric,50.8 kwh,9.0 sec,150 km/h,300 km,169 Wh/km,480 km/h,"€37,000","€39,500","£35,700"
102,ORA Funky Cat GT,59.3 kwh,8.2 sec,160 km/h,330 km,180 Wh/km,230 km/h,"€49,490",N/A,N/A
103,ORA Funky Cat 63 kWh,59.3 kwh,8.2 sec,160 km/h,340 km,174 Wh/km,240 km/h,"€44,490",N/A,N/A
104,Dacia Spring Electric 65 Extreme,25 kwh,13.7 sec,125 km/h,160 km,156 Wh/km,170 km/h,"€24,550","€23,400",N/A
105,Jaguar I-Pace EV400,84.7 kwh,4.8 sec,200 km/h,380 km,223 Wh/km,360 km/h,"€92,400","€95,450","£69,995"
106,VinFast VF 9 Extended Range,123 kwh,6.5 sec,200 km/h,520 km,237 Wh/km,520 km/h,"€89,790","€91,300",N/A
107,VinFast VF 9 Standard Range,92 kwh,6.5 sec,200 km/h,400 km,230 Wh/km,540 km/h,"* €83,000",N/A,N/A
108,VinFast VF 8 Plus Extended Range,87.7 kwh,5.5 sec,200 km/h,425 km,206 Wh/km,550 km/h,"€58,890","€59,790",N/A
109,VinFast VF 8 Plus Standard Range,82 kwh,5.5 sec,200 km/h,400 km,205 Wh/km,560 km/h,"* €55,000",N/A,N/A
110,VinFast VF 8 Eco Extended Range,87.7 kwh,5.9 sec,200 km/h,425 km,206 Wh/km,550 km/h,"€52,990","€53,900",N/A
111,VinFast VF 8 Eco Standard Range,82 kwh,5.9 sec,200 km/h,405 km,202 Wh/km,560 km/h,"* €50,000",N/A,N/A
112,Seres 3,51 kwh,8.9 sec,155 km/h,260 km,196 Wh/km,240 km/h,N/A,"€37,995",N/A
113,Maserati GranTurismo Folgore,83 kwh,2.7 sec,320 km/h,425 km,195 Wh/km,990 km/h,"* €250,000","* €250,000","* £200,000"
114,Renault Kangoo E-Tech Electric,45 kwh,12.6 sec,132 km/h,220 km,205 Wh/km,230 km/h,"€39,300",N/A,N/A
115,Volvo C40 Recharge Twin Motor,79 kwh,4.7 sec,180 km/h,400 km,198 Wh/km,600 km/h,"€61,400","€61,495","£53,605"
116,Volvo C40 Recharge Single Motor ER,79 kwh,7.3 sec,180 km/h,420 km,188 Wh/km,630 km/h,"€54,450","€52,995",N/A
117,Volvo C40 Recharge Single Motor,66 kwh,7.3 sec,180 km/h,355 km,186 Wh/km,430 km/h,"€47,500","€50,995","£48,355"
118,Volvo XC40 Recharge Twin Motor,79 kwh,4.8 sec,180 km/h,390 km,203 Wh/km,580 km/h,"€59,950","€59,995","£51,755"
119,Volvo XC40 Recharge Single Motor ER,79 kwh,7.3 sec,180 km/h,405 km,195 Wh/km,600 km/h,"€53,000","€51,495",N/A
120,Volvo XC40 Recharge Single Motor,66 kwh,7.3 sec,180 km/h,345 km,191 Wh/km,420 km/h,"€47,500","€45,995","£46,505"
121,Mercedes EQS SUV 500 4MATIC,108.4 kwh,5.2 sec,210 km/h,490 km,221 Wh/km,640 km/h,"€124,545","€152,166",N/A
122,Opel Astra Sports Tourer Electric,50.8 kwh,8.5 sec,170 km/h,300 km,169 Wh/km,480 km/h,"* €46,000","* €42,000","* £42,000"
123,Opel Astra Electric,50.8 kwh,8.5 sec,170 km/h,310 km,164 Wh/km,500 km/h,"€45,060","€39,999","£39,995"
124,DS 3 E-Tense,50.8 kwh,9.0 sec,150 km/h,300 km,169 Wh/km,480 km/h,"€40,540","€42,140","£37,200"
125,NIO EL7 100 kWh,90 kwh,3.9 sec,200 km/h,430 km,209 Wh/km,450 km/h,"€94,900","€97,900",N/A
126,NIO EL7 75 kWh,70.5 kwh,3.9 sec,200 km/h,340 km,207 Wh/km,460 km/h,"€85,900","€88,900",N/A
127,NIO ET5 100 kWh,90 kwh,4.0 sec,200 km/h,500 km,180 Wh/km,520 km/h,"€68,500","€71,700",N/A
128,NIO ET5 75 kWh,70.5 kwh,4.0 sec,200 km/h,395 km,178 Wh/km,530 km/h,"€59,500","€62,700",N/A
129,BMW i4 eDrive35,67 kwh,6.0 sec,190 km/h,430 km,156 Wh/km,580 km/h,"€56,500","€59,362","£49,995"
130,BYD HAN,85.4 kwh,3.9 sec,180 km/h,475 km,180 Wh/km,450 km/h,"€70,805","€71,490",N/A
131,BYD TANG,86.4 kwh,4.6 sec,180 km/h,360 km,240 Wh/km,330 km/h,"€71,400","€73,300",N/A
132,BYD ATTO 3,60.5 kwh,7.3 sec,160 km/h,330 km,183 Wh/km,370 km/h,"€44,625","€42,998","£36,490"
133,ORA Funky Cat 48 kWh,45.4 kwh,8.3 sec,160 km/h,260 km,175 Wh/km,240 km/h,"€38,990",N/A,"£31,995"
134,Toyota Proace City Verso Electric L2 50 kWh,46.3 kwh,11.2 sec,135 km/h,205 km,226 Wh/km,330 km/h,"€40,150","€46,895",N/A
135,Toyota Proace City Verso Electric L1 50 kWh,46.3 kwh,11.2 sec,135 km/h,210 km,220 Wh/km,330 km/h,"€37,800","€45,495",N/A
136,Mercedes EQB 250+,70.5 kwh,8.9 sec,160 km/h,410 km,172 Wh/km,550 km/h,"€53,978","€54,966",N/A
137,Volvo EX90 Twin Motor Performance,107 kwh,4.9 sec,180 km/h,450 km,238 Wh/km,590 km/h,"€110,650","€98,495","£100,555"
138,Volvo EX90 Twin Motor,107 kwh,5.9 sec,180 km/h,465 km,230 Wh/km,610 km/h,"€105,550","€88,995","£96,255"
139,Audi SQ8 e-tron Sportback,106 kwh,4.5 sec,210 km/h,480 km,221 Wh/km,610 km/h,"€98,050","€101,535","£100,000"
140,Audi SQ8 e-tron,106 kwh,4.5 sec,210 km/h,455 km,233 Wh/km,570 km/h,"€95,800","€99,135","£97,500"
141,Audi Q8 e-tron Sportback 55 quattro,106 kwh,5.6 sec,200 km/h,525 km,202 Wh/km,660 km/h,"€87,550","€85,385","£80,300"
142,Audi Q8 e-tron Sportback 50 quattro,89 kwh,6.0 sec,200 km/h,445 km,200 Wh/km,690 km/h,"€76,650","€73,785","£70,300"
143,Audi Q8 e-tron 55 quattro,106 kwh,5.6 sec,200 km/h,495 km,214 Wh/km,630 km/h,"€85,300","€82,985","£77,800"
144,Audi Q8 e-tron 50 quattro,89 kwh,6.0 sec,200 km/h,420 km,212 Wh/km,650 km/h,"€74,400","€71,385","£67,800"
145,Lotus Eletre R,109 kwh,2.9 sec,260 km/h,455 km,240 Wh/km,950 km/h,"€150,990","€154,090","£120,000"
146,Lotus Eletre,109 kwh,4.5 sec,250 km/h,495 km,220 Wh/km,1040 km/h,"€95,990","€98,690","£89,500"
147,Aiways U6,60 kwh,7.0 sec,160 km/h,350 km,171 Wh/km,430 km/h,"€47,588","€48,975",N/A
148,Rolls-Royce Spectre,100 kwh,4.5 sec,250 km/h,455 km,220 Wh/km,540 km/h,"* €400,000","* €400,000","* £350,000"
149,Mercedes EQE SUV AMG 53 4MATIC+,90.6 kwh,3.5 sec,240 km/h,410 km,221 Wh/km,610 km/h,"€139,438","€149,788","£133,860"
150,Mercedes EQE SUV AMG 43 4MATIC,90.6 kwh,4.3 sec,210 km/h,415 km,218 Wh/km,620 km/h,"€124,920","€130,791",N/A
151,Mercedes EQE SUV 500 4MATIC,90.6 kwh,4.9 sec,210 km/h,435 km,208 Wh/km,650 km/h,"€99,841","€116,755","£108,760"
152,Mercedes EQE SUV 350 4MATIC,90.6 kwh,6.6 sec,210 km/h,435 km,208 Wh/km,650 km/h,"€89,548","€99,089","£90,560"
153,Mercedes EQE SUV 350+,90.6 kwh,6.7 sec,210 km/h,450 km,201 Wh/km,670 km/h,"€86,811","€91,950",N/A
154,Polestar 3 Long Range Performance,107 kwh,4.7 sec,210 km/h,470 km,228 Wh/km,610 km/h,"€95,200","€96,500","£85,500"
155,Polestar 3 Long Range Dual motor,107 kwh,5.0 sec,210 km/h,490 km,218 Wh/km,640 km/h,"€88,600","€89,900","£79,900"
156,Ford Mustang Mach-E GT,91 kwh,4.4 sec,200 km/h,425 km,214 Wh/km,380 km/h,"€86,200","€79,200","£74,540"
157,Ford Mustang Mach-E ER AWD,91 kwh,5.8 sec,180 km/h,440 km,207 Wh/km,390 km/h,"€77,200","€70,940","£65,405"
158,Ford Mustang Mach-E SR AWD,70 kwh,6.3 sec,180 km/h,345 km,203 Wh/km,360 km/h,"€69,200","€66,445",N/A
159,Ford Mustang Mach-E ER RWD,91 kwh,7.0 sec,180 km/h,480 km,190 Wh/km,420 km/h,"€71,200","€59,400","£59,380"
160,Ford Mustang Mach-E SR RWD,70 kwh,6.9 sec,180 km/h,375 km,187 Wh/km,390 km/h,"€62,900","€53,900","£50,830"
161,NIO ET7 100 kWh,90 kwh,3.8 sec,200 km/h,505 km,178 Wh/km,530 km/h,"€90,900","€93,900",N/A
162,NIO ET7 75 kWh,70.5 kwh,3.8 sec,200 km/h,400 km,176 Wh/km,540 km/h,"€81,900","€84,900",N/A
163,Kia e-Soul 39.2 kWh,39.2 kwh,9.9 sec,157 km/h,230 km,170 Wh/km,200 km/h,N/A,"€37,295","£32,845"
164,Kia e-Soul 64 kWh,64 kwh,7.9 sec,167 km/h,370 km,173 Wh/km,350 km/h,"€46,950","€42,695","£39,045"
165,Smart #1 Brabus,62 kwh,3.9 sec,180 km/h,315 km,197 Wh/km,490 km/h,"€48,990","€48,895","£43,450"
166,Hongqi E-HS9 99 kWh,90 kwh,4.9 sec,200 km/h,370 km,243 Wh/km,430 km/h,N/A,"€94,590",N/A
167,Hongqi E-HS9 84 kWh,76.5 kwh,6.5 sec,200 km/h,320 km,239 Wh/km,440 km/h,N/A,"€83,590",N/A
168,Peugeot e-308 SW,50.8 kwh,9.0 sec,150 km/h,300 km,169 Wh/km,450 km/h,"* €45,000","€44,875","* £38,000"
169,Peugeot e-308,50.8 kwh,9.8 sec,170 km/h,300 km,169 Wh/km,450 km/h,"€44,765","€43,585","* £37,000"
170,Tesla Model Y,57.5 kwh,6.9 sec,217 km/h,350 km,164 Wh/km,580 km/h,"€47,567","€47,993","£44,990"
171,Fiat 500e Cabrio 24 kWh,21.3 kwh,9.0 sec,135 km/h,135 km,158 Wh/km,230 km/h,"€35,490","€31,990",N/A
172,Fiat 500e 3+1 24 kWh,21.3 kwh,9.0 sec,135 km/h,135 km,158 Wh/km,230 km/h,N/A,"€30,990",N/A
173,Genesis GV70 Electrified Sport,74 kwh,4.2 sec,235 km/h,350 km,211 Wh/km,860 km/h,"€67,300",N/A,"£65,105"
174,Fiat E-Ulysse L3 75 kWh,68 kwh,13.3 sec,130 km/h,260 km,262 Wh/km,280 km/h,"€62,990",N/A,N/A
175,Fiat E-Ulysse L3 50 kWh,46.3 kwh,12.1 sec,130 km/h,180 km,257 Wh/km,290 km/h,"€56,990",N/A,N/A
176,Fiat E-Ulysse L2 75 kWh,68 kwh,13.3 sec,130 km/h,265 km,257 Wh/km,290 km/h,"€61,990",N/A,N/A
177,Fiat E-Ulysse L2 50 kWh,46.3 kwh,12.1 sec,130 km/h,185 km,250 Wh/km,290 km/h,"€55,990",N/A,N/A
178,Audi Q4 Sportback e-tron 45 quattro,76.6 kwh,6.9 sec,180 km/h,400 km,192 Wh/km,570 km/h,"€55,900","€63,465",N/A
179,Hyundai IONIQ 6 Long Range AWD,74 kwh,5.1 sec,185 km/h,440 km,168 Wh/km,1150 km/h,"€61,100","€59,395","£50,540"
180,Hyundai IONIQ 6 Long Range 2WD,74 kwh,7.4 sec,185 km/h,495 km,149 Wh/km,1290 km/h,"€54,000","€50,895","£47,040"
181,Hyundai IONIQ 6 Standard Range 2WD,54 kwh,8.8 sec,185 km/h,365 km,148 Wh/km,900 km/h,"€43,900","€45,895",N/A
182,Mercedes EQE 500 4MATIC,90.6 kwh,4.7 sec,210 km/h,485 km,187 Wh/km,720 km/h,N/A,"€113,488",N/A
183,Mercedes EQE 350 4MATIC,90.6 kwh,6.3 sec,210 km/h,485 km,187 Wh/km,720 km/h,N/A,"€86,263",N/A
184,Mercedes EQE 350,89 kwh,6.4 sec,210 km/h,510 km,175 Wh/km,640 km/h,N/A,"€83,238","£77,345"
185,Mercedes EQE 300,89 kwh,7.3 sec,210 km/h,515 km,173 Wh/km,650 km/h,N/A,"€71,138","£74,345"
186,Fisker Ocean One,106.5 kwh,3.9 sec,205 km/h,530 km,201 Wh/km,630 km/h,"€69,950","€71,058","£60,880"
187,Fisker Ocean Extreme,106.5 kwh,3.9 sec,205 km/h,530 km,201 Wh/km,630 km/h,"€69,950","€71,058","£60,880"
188,Fisker Ocean Ultra,106.5 kwh,4.2 sec,200 km/h,535 km,199 Wh/km,640 km/h,"€57,000","* €58,000","£49,880"
189,Fisker Ocean Sport,75 kwh,7.4 sec,160 km/h,380 km,197 Wh/km,480 km/h,"€41,560","* €42,000","£35,970"
190,MG MG4 Electric 64 kWh,61.7 kwh,7.9 sec,160 km/h,360 km,171 Wh/km,560 km/h,"€39,990","€35,785","£29,495"
191,MG MG4 Electric 51 kWh,50.8 kwh,7.7 sec,160 km/h,300 km,169 Wh/km,340 km/h,"€34,990","€32,285","£26,995"
192,Citroen e-C4 X,46.3 kwh,9.7 sec,150 km/h,275 km,168 Wh/km,440 km/h,"€37,540","€38,680","£31,995"
193,Dacia Spring Electric 45,25 kwh,19.1 sec,125 km/h,165 km,152 Wh/km,180 km/h,"€22,550","€21,750",N/A
194,Genesis G80 Electrified Luxury,82.5 kwh,4.9 sec,225 km/h,440 km,188 Wh/km,880 km/h,"€69,200",N/A,"£69,805"
195,Volkswagen ID.4 Pro 4MOTION,77 kwh,6.9 sec,180 km/h,405 km,190 Wh/km,560 km/h,"€49,020",N/A,N/A
196,BMW iX1 xDrive30,64.7 kwh,5.6 sec,180 km/h,370 km,175 Wh/km,530 km/h,"€55,000","€57,850","£53,295"
197,Mercedes EQS 500 4MATIC,107.8 kwh,4.8 sec,210 km/h,590 km,183 Wh/km,880 km/h,"€125,378","€147,326",N/A
